更新时间,#genre#
CCTV6,https://t.freetv.fun/live/cctv6-22.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-21.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-6.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-12.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-13.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-20.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-7.m3u8
CCTV6,https://t.freetv.fun/live/cctv6dian-ying-3.m3u8
CCTV6,https://t.freetv.fun/live/cctv-06.m3u8
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8
CCTV6,http://198.204.228.26/live/cctv6hd.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV6,http://173.208.212.130:8181/720p/cctv6.m3u8
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV6,http://173.208.212.130:8181/1080p/cctv6.m3u8
CCTV6,http://204.12.221.218:8181/3m1080p/cctv6.m3u8
CCTV6,http://198.204.240.250:82/live/cctv6.m3u8
CCTV6,https://t.freetv.fun/live/cctv-6hd.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-7.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-3.m3u8
CCTV7,https://t.freetv.fun/live/cctv-07.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-9.m3u8
CCTV7,https://t.freetv.fun/live/cctv-7.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-10.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-2.m3u8
CCTV7,https://t.freetv.fun/live/cctv7.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-8.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-6.m3u8
CCTV7,https://t.freetv.fun/live/cctv-7hd-3.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-5.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-11.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-4.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-13.m3u8
CCTV7,http://69.30.245.50/live/cctv7.m3u8
CCTV7,http://198.204.228.26/live/cctv7hd.m3u8
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV7,http://192.151.150.154/live/cctv7hd.m3u8
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV7,https://t.freetv.fun/live/cctv-7hd.m3u8
CCTV7,https://t.freetv.fun/live/cctv-4kchao-gao-qing.m3u8
CCTV7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
CCTV7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Ydh47G&tk=FgM0vQMejxvG
CCTV7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=is7Yts&tk=FgM0vQMejxvG
CCTV7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=AtyFM3&tk=FgM0vQMejxvG
CCTV7,http://218.1.138.153:9003/hls/7/index.m3u8
CCTV7,https://t.freetv.fun/live/cctv7hd.m3u8
CCTV7,https://t.freetv.fun/live/cctv-7hd-2.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-16.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-11.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-14.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-7.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-5.m3u8
CCTV8,https://t.freetv.fun/live/cctv8.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-9.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-3.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-12.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-8.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-10.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-6.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-2.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-17.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-4.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV8,http://173.208.212.130:8181/720p/cctv8.m3u8
CCTV8,http://204.12.221.218:8181/3m1080p/cctv8.m3u8
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k
CCTV8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd
CCTV8,https://t.freetv.fun/live/cctv8hd-1.m3u8
CCTV8,http://kkk.888.3116598.xyz/api.php?n=tttt&id=RaUW6p&tk=FgM0vQMejxvG
CCTV8,http://218.1.138.153:9003/hls/8/index.m3u8
CCTV8,http://223.247.25.235:1234/624878356
CCTV8,http://113.90.154.189:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://182.37.41.46:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://113.57.140.161:10081/newlive/live/hls/9/live.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-7.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-13.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-8.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-5.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-4.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-6.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-2.m3u8
CCTV9,https://t.freetv.fun/live/cctv-09.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-1.m3u8
CCTV9,https://t.freetv.fun/live/cctv-9hd.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-14.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-3.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-11.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-12.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-9.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-10.m3u8
CCTV9,https://t.freetv.fun/live/cctv9.m3u8
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV9,http://69.30.245.50/live/cctv9.m3u8
CCTV9,http://198.204.228.26/live/cctv9hd.m3u8
CCTV9,http://204.12.221.218:8181/3m1080p/cctv9.m3u8
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV9,https://t.freetv.fun/live/cctv-9hd-3.m3u8
CCTV9,https://t.freetv.fun/live/cctv-9-2.m3u8
CCTV9,https://t.freetv.fun/live/cctv9hd.m3u8
CCTV9,https://t.freetv.fun/live/cctv9ji-lu-3.m3u8
CCTV9,https://t.freetv.fun/live/cctv9ji-lu-2.m3u8
CCTV9,https://t.freetv.fun/live/cctv-9-1.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-5.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-1.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-2.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-2.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-10.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10-4.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-13.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-8.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-6.m3u8
CCTV10,https://t.freetv.fun/live/cctv10.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10hd.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-14.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-11.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-4.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-7.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-28.m3u8
CCTV10,https://t.freetv.fun/live/cctv10hd.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-15.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-9.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-16.m3u8
CCTV10,http://198.204.228.26/live/cctv10hd.m3u8
CCTV10,http://69.30.245.50/live/cctv10.m3u8
CCTV10,http://173.208.212.130:8181/1080p/cctv10.m3u8
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV10,http://204.12.221.218:8181/3m1080p/cctv10.m3u8
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-1.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10hd-3.m3u8
CCTV10,https://t.freetv.fun/live/cctv10ke-jiao-1.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-12.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-9.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11-2.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-6.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-3.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-4.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-5.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-13.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-14.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-11.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-10.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-1.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-8.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-16.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-2.m3u8
CCTV11,https://t.freetv.fun/live/cctv11.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-7.m3u8
CCTV11,http://198.204.228.26/live/cctv11hd.m3u8
CCTV11,http://204.12.221.218:8181/3m1080p/cctv11.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11-1.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11hd-3.m3u8
CCTV11,https://t.freetv.fun/live/cctv11xi-qu-3.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11.m3u8
CCTV11,https://t.freetv.fun/live/cctv11xi-qu-1.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11hd-2.m3u8
CCTV11,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV11,https://t.freetv.fun/live/cctv11xi-qu.m3u8
CCTV11,https://t.freetv.fun/live/cctv11xi-qu-2.m3u8
CCTV11,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Z5qUGH&tk=FgM0vQMejxvG
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,https://t.freetv.fun/live/cctv12.m3u8
CCTV12,https://t.freetv.fun/live/cctv12hd.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-4.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-5.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-14.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-1.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-2.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-7.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12-2.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-12.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-9.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-8.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12-1.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-10.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-6.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-11.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-3.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-13.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV12,https://t.freetv.fun/live/cctv-12.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12hd-1.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12hd-2.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12-3.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12hd-4.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12hd.m3u8
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=KzUWhw&tk=FgM0vQMejxvG
